Day,Mid,Bid,Ask,Spread,Drift,Volatility,Jump,News
0,99.973,99.973,97.4742,102.472,4.99766,0.00019804,-0.00046818,0,No news
1,99.9906,99.973,97.4907,102.491,4.99989,0.000198272,-2.17335e-05,0,No news
2,100.039,99.9906,97.5379,102.539,5.0014,0.000198384,0.000280951,0,No news
3,100.059,100.039,97.5587,102.559,5.00001,0.000198413,2.29012e-06,0,No news
4,100.079,100.059,97.5787,102.579,5.00001,0.000198413,1.74533e-06,0,No news
5,100.098,100.079,97.5978,102.598,4.99996,0.000198413,-7.91969e-06,0,No news
6,100.114,100.098,97.614,102.614,4.99981,0.0001984,-3.73892e-05,0,No news
7,100.123,100.114,97.6233,102.623,4.99947,0.000198382,-0.000106789,0,No news
8,100.144,100.123,97.6436,102.644,5.00003,0.000198413,6.82338e-06,0,No news
9,100.15,100.144,97.6503,102.65,4.99932,0.000198384,-0.000135223,0,No news
10,100.197,100.15,97.6963,102.698,5.00136,0.000198379,0.000271536,0,No news
11,100.213,100.197,97.7134,102.713,4.99982,0.000198406,-3.52392e-05,0,No news
12,100.224,100.213,97.7245,102.724,4.99956,0.000198394,-8.88776e-05,0,No news
13,100.236,100.224,97.7365,102.736,4.99961,0.000198305,-7.83134e-05,0,No news
14,97.3118,100.236,94.8113,99.8123,5.00106,0.000178511,0.0002111,-0.03,"Rumor: firm exploring strategic options"
15,97.3312,97.3118,94.8311,99.8312,5.0001,0.000178571,2.03081e-05,0,No news
16,97.3757,97.3312,94.8751,99.8764,5.0013,0.000198285,0.000259258,0,No news
17,92.6844,97.3757,90.1832,95.1856,5.00233,0.00015799,0.000465168,-0.05,"Global macro uncertainty rises"
18,92.7245,92.6844,90.2238,95.2252,5.00137,0.000158304,0.000274613,0,No news
19,92.7566,92.7245,90.2561,95.2571,5.00094,0.000158661,0.000187077,0,No news
20,90.0057,92.7566,87.5064,92.505,4.99858,0.00017829,-0.000283648,-0.03,"Rumor: firm exploring strategic options"
21,89.9726,90.0057,87.474,92.4713,4.99727,0.00017847,-0.00054611,0,No news
22,89.9561,89.9726,87.4571,92.4552,4.99809,0.000198138,-0.00038201,0,No news
23,89.9923,89.9561,87.4917,92.4928,5.00102,0.000198183,0.000203571,0,No news
24,90.0616,89.9923,87.5602,92.5631,5.00286,0.000198118,0.000572702,0,No news
25,90.0131,90.0616,87.5149,92.5113,4.99631,0.000198203,-0.000737448,0,No news
26,90.0188,90.0131,87.5191,92.5184,4.99932,0.000198385,-0.000135486,0,No news
27,90.0364,90.0188,87.5365,92.5364,4.99999,0.000198413,-1.91261e-06,0,No news
28,90.0401,90.0364,87.5405,92.5397,4.99921,0.000198325,-0.000157814,0,No news
29,90.0575,90.0401,87.5575,92.5575,4.99998,0.000198368,-4.91004e-06,0,No news
30,92.8187,90.0575,90.3188,95.3187,4.99991,0.000218216,-1.85186e-05,0.03,"Rumor: firm exploring strategic options"
31,92.8839,92.8187,90.3827,95.3852,5.00242,0.000218104,0.000484446,0,No news
32,93.0282,92.8839,90.5248,95.5316,5.00677,0.000198196,0.00135399,0,No news
33,88.8204,93.0282,86.3115,91.3293,5.01778,0.000157464,0.00355619,-0.05,"Global macro uncertainty rises"
34,89.044,88.8204,86.5382,91.5499,5.01178,0.000158095,0.00235645,0,No news
35,89.0356,89.044,86.5362,91.5349,4.99873,0.000158326,-0.000253598,0,No news
36,89.0447,89.0356,86.545,91.5445,4.99952,0.000198318,-9.52256e-05,0,No news
37,89.0385,89.0447,86.5392,91.5378,4.99866,0.000198306,-0.000268365,0,No news
38,89.0205,89.0385,86.5215,91.5195,4.998,0.000198151,-0.000400334,0,No news
39,89.1648,89.0205,86.6613,91.6684,5.00711,0.00019798,0.00142178,0,No news
40,89.2405,89.1648,86.7388,91.7421,5.00325,0.000198078,0.000649917,0,No news
41,89.4583,89.2405,86.9527,91.9639,5.0112,0.000197918,0.00223992,0,No news
42,89.5354,89.4583,87.0338,92.0371,5.00332,0.000198064,0.000664038,0,No news
43,89.5389,89.5354,87.0393,92.0385,4.9992,0.000198361,-0.000160178,0,No news
44,89.6108,89.5389,87.1093,92.1123,5.00303,0.000198318,0.000605224,0,No news
45,92.3657,89.6108,89.8655,94.8658,5.0003,0.000218251,6.08199e-05,0.03,"Rumor: firm exploring strategic options"
46,92.3794,92.3657,89.8796,94.8792,4.99965,0.000218253,-6.95842e-05,0,No news
47,92.4113,92.3794,89.9109,94.9117,5.00073,0.000198409,0.000146855,0,No news
48,92.4296,92.4113,89.9296,94.9296,5,0.000198413,-6.92543e-07,0,No news
49,92.4476,92.4296,89.9476,94.9476,4.99999,0.000198413,-2.9518e-06,0,No news
50,92.4545,92.4476,89.9548,94.9542,4.99938,0.000198308,-0.000124233,0,No news
51,92.565,92.4545,90.0625,95.0675,5.00499,0.000198009,0.000997095,0,No news
52,92.5469,92.565,90.0479,95.0459,4.99803,0.000198105,-0.000394425,0,No news
53,92.5219,92.5469,90.0231,95.0208,4.99766,0.000198286,-0.000467816,0,No news
54,92.5391,92.5219,90.0392,95.0391,4.99994,0.000198224,-1.21452e-05,0,No news
55,92.4977,92.5391,89.9993,94.9961,4.99677,0.000198326,-0.00064655,0,No news
56,92.4964,92.4977,89.997,94.9959,4.99894,0.000198311,-0.000211755,0,No news
57,92.5258,92.4964,90.0255,95.0261,5.00059,0.000198337,0.000118672,0,No news
58,92.5432,92.5258,90.0433,95.0432,4.99995,0.000198413,-9.65872e-06,0,No news
59,92.5274,92.5432,90.0283,95.0264,4.99815,0.000198146,-0.000369704,0,No news
60,92.5449,92.5274,90.0449,95.0448,4.99995,0.000198413,-9.13377e-06,0,No news
61,92.5119,92.5449,90.0133,95.0105,4.99723,0.000198101,-0.000554652,0,No news
62,92.5431,92.5119,90.0428,95.0435,5.0007,0.000197747,0.000139774,0,No news
63,102.495,92.5431,99.9904,105,5.00912,0.000314692,0.00182449,0.1,"Firm reports quarterly earnings | Global macro uncertainty rises"
64,102.449,102.495,99.9509,104.947,4.99658,0.000237982,-0.000684952,0,No news
65,102.449,102.449,99.9493,104.948,4.99879,0.000238079,-0.000242842,0,No news
66,107.728,102.449,105.228,110.228,5.00005,0.000238095,1.0218e-05,0.05,"Global macro uncertainty rises"
67,107.767,107.728,105.267,110.267,5.00061,0.000238091,0.000121522,0,No news
68,107.815,107.767,105.314,110.315,5.00103,0.000238073,0.000206944,0,No news
69,107.83,107.815,105.331,110.33,4.99974,0.000198409,-5.29437e-05,0,No news
70,107.809,107.83,105.31,110.308,4.99803,0.000198258,-0.000394513,0,No news
71,107.886,107.809,105.385,110.387,5.00255,0.000198192,0.000510933,0,No news
72,107.79,107.886,105.293,110.288,4.99458,0.000197981,-0.00108335,0,No news
73,107.679,107.79,105.182,110.176,4.99383,0.000197618,-0.00123433,0,No news
74,107.787,107.679,105.285,110.289,5.00406,0.000197263,0.000811382,0,No news
75,107.578,107.787,105.084,110.073,4.98931,0.00019684,-0.00213744,0,No news
76,107.829,107.578,105.323,110.334,5.01063,0.000196494,0.00212644,0,No news
77,107.672,107.829,105.176,110.167,4.99173,0.000196374,-0.00165316,0,No news
78,107.721,107.672,105.22,110.222,5.00132,0.000195747,0.000263029,0,No news
79,107.57,107.721,105.074,110.066,4.99202,0.000196826,-0.00159629,0,No news
80,107.854,107.57,105.347,110.36,5.01216,0.000197108,0.00243223,0,No news
81,108.166,107.854,105.66,110.673,5.0135,0.000196344,0.00269908,0,No news
82,108.396,108.166,105.891,110.901,5.00962,0.000196193,0.0019249,0,No news
83,108.419,108.396,105.919,110.919,5.00006,0.000196886,1.18875e-05,0,No news
84,108.22,108.419,105.725,110.715,4.98985,0.000196628,-0.00203094,0,No news
85,108.599,108.22,106.09,111.107,5.01649,0.000196501,0.00329792,0,No news
86,108.833,108.599,106.328,111.337,5.00978,0.000196142,0.00195536,0,No news
87,109.085,108.833,106.579,111.59,5.01058,0.00019749,0.00211629,0,No news
88,112.252,109.085,109.756,114.748,4.99201,0.000216092,-0.00159841,0.03,"Rumor: firm exploring strategic options"
89,111.944,112.252,109.452,114.437,4.98521,0.000216271,-0.002957,0,No news
90,111.907,111.944,109.409,114.406,4.99736,0.000197173,-0.000528076,0,No news
91,111.904,111.907,109.405,114.404,4.99887,0.000197513,-0.000225475,0,No news
92,111.951,111.904,109.451,114.452,5.00111,0.000196978,0.000222651,0,No news
93,112.038,111.951,109.537,114.54,5.0029,0.000197632,0.000580995,0,No news
94,111.83,112.038,109.335,114.324,4.98969,0.000197955,-0.00206297,0,No news
95,111.925,111.83,109.423,114.426,5.00326,0.000197393,0.000652907,0,No news
96,111.893,111.925,109.394,114.391,4.99758,0.000197428,-0.000484951,0,No news
97,112.553,111.893,110.039,115.067,5.02845,0.000196714,0.00568989,0,No news
98,112.345,112.553,109.851,114.84,4.98978,0.000196444,-0.00204303,0,No news
99,112.461,112.345,109.959,114.963,5.00417,0.00019654,0.000833299,0,No news
100,112.528,112.461,110.027,115.029,5.002,0.000197699,0.000399747,0,No news
101,112.75,112.528,110.245,115.254,5.00884,0.000197525,0.00176727,0,No news
102,112.794,112.75,110.293,115.294,5.00095,0.000196938,0.000190911,0,No news
103,113.321,112.794,110.809,115.832,5.02233,0.000196006,0.00446654,0,No news
104,113.447,113.321,110.945,115.95,5.00461,0.000195987,0.000921119,0,No news
105,113.199,113.447,110.705,115.693,4.98806,0.000197059,-0.00238789,0,No news
106,113.152,113.199,110.654,115.65,4.99694,0.000197458,-0.000612872,0,No news
107,113.17,113.152,110.67,115.67,4.99981,0.000197876,-3.7297e-05,0,No news
108,113.302,113.17,110.8,115.805,5.00485,0.000198002,0.000970015,0,No news
109,113.129,113.302,110.633,115.625,4.99135,0.000198127,-0.00172928,0,No news
110,113.15,113.129,110.65,115.65,4.99994,0.000198096,-1.12993e-05,0,No news
