Day,Mid,Bid,Ask,Spread,Drift,Volatility,Jump,News
0,100.108,95.1036,105.112,10.0088,0.000197923,0.000881934,0,No news
1,100.233,95.2279,105.238,10.0105,0.000197408,0.00105147,0,No news
2,100.498,95.4862,105.511,10.0245,0.000197316,0.00244561,0,No news
3,100.579,95.5759,105.582,10.006,0.000197228,0.000603304,0,No news
4,100.386,95.3969,105.376,9.97887,0.000197168,-0.00211337,0,No news
5,97.5207,92.5164,102.525,10.0086,0.000175476,0.000863507,-0.03,"Rumor: firm exploring strategic options"
6,97.504,92.5057,102.502,9.99654,0.000174332,-0.000346406,0,No news
7,97.4955,92.4969,102.494,9.99717,0.000196527,-0.000283053,0,No news
8,97.5231,92.5227,102.524,10.0008,0.0001978,8.49865e-05,0,No news
9,97.4174,92.4238,102.411,9.98718,0.000197789,-0.00128217,0,No news
10,97.3196,92.3256,102.314,9.98798,0.000197481,-0.00120172,0,No news
11,97.3239,92.3247,102.323,9.99846,0.000197653,-0.000153749,0,No news
12,97.2455,92.2506,102.241,9.98997,0.000197384,-0.00100281,0,No news
13,96.8695,91.8899,101.849,9.95929,0.000197345,-0.00407144,0,No news
14,97.0192,92.0125,102.026,10.0135,0.000197221,0.00134657,0,No news
15,97.0546,92.0537,102.055,10.0017,0.000196247,0.00016807,0,No news
16,97.3668,92.3517,102.382,10.0302,0.000196449,0.00301553,0,No news
17,97.3858,92.3858,102.386,9.99999,0.000196239,-1.17159e-06,0,No news
18,97.6778,92.6638,102.692,10.028,0.000196609,0.00279781,0,No news
19,93.0967,88.0877,98.1058,10.0181,0.000152084,0.00181238,-0.05,"Global macro uncertainty rises"
20,92.7108,87.7323,97.6892,9.95696,0.00014925,-0.00430379,0,No news
21,92.6163,87.6221,97.6104,9.98831,0.000149542,-0.0011695,0,No news
22,92.6363,87.6362,97.6364,10.0002,0.000195956,2.05794e-05,0,No news
23,92.4568,87.4675,97.4461,9.97864,0.000197022,-0.00213637,0,No news
24,92.4094,87.413,97.4059,9.9929,0.000196903,-0.00070951,0,No news
25,92.4285,87.4284,97.4285,10.0001,0.000196615,9.43137e-06,0,No news
26,92.6341,87.6239,97.6442,10.0203,0.000196375,0.00202524,0,No news
27,92.9156,87.9014,97.9298,10.0284,0.000196333,0.00283855,0,No news
28,92.8418,87.8468,97.8369,9.99009,0.000196555,-0.000990943,0,No news
29,92.6099,87.6234,97.5965,9.97303,0.000196073,-0.00269695,0,No news
30,92.524,87.5296,97.5184,9.98876,0.000195765,-0.00112389,0,No news
31,92.3699,87.3792,97.3606,9.98137,0.000195584,-0.00186304,0,No news
32,92.548,87.5394,97.5567,10.0173,0.000195326,0.00173129,0,No news
33,92.6782,87.6722,97.6843,10.0121,0.000194845,0.00121122,0,No news
34,92.6946,87.6947,97.6945,9.99981,0.000195177,-1.88967e-05,0,No news
35,92.7686,87.7656,97.7717,10.006,0.000194997,0.000603815,0,No news
36,92.9559,87.9468,97.965,10.0182,0.000196208,0.00182041,0,No news
37,93.1022,88.0954,98.1091,10.0138,0.000195676,0.0013773,0,No news
38,93.2418,88.2353,98.2483,10.013,0.000196037,0.00130185,0,No news
39,93.2021,88.2052,98.199,9.99377,0.000196822,-0.000622522,0,No news
40,93.1979,88.1992,98.1967,9.99758,0.000197305,-0.000242077,0,No news
41,93.0916,88.0983,98.0849,9.98661,0.000197049,-0.00133862,0,No news
42,93.2379,88.231,98.2448,10.0137,0.000196886,0.00137311,0,No news
43,93.1635,88.1685,98.1585,9.99004,0.000197418,-0.000995795,0,No news
44,93.0143,88.0233,98.0053,9.982,0.000198063,-0.00180029,0,No news
45,93.0446,88.0439,98.0452,10.0013,0.000198249,0.000126792,0,No news
46,93.024,88.0261,98.0219,9.99581,0.000197948,-0.000418832,0,No news
47,93.0792,88.0772,98.0812,10.004,0.000197963,0.000395032,0,No news
48,92.9661,87.9732,97.9591,9.98587,0.000198076,-0.00141335,0,No news
49,92.9679,87.9688,97.967,9.99821,0.000197992,-0.000178684,0,No news
50,93.0662,88.0619,98.0705,10.0086,0.000197603,0.00085895,0,No news
51,92.9869,87.9921,97.9816,9.98949,0.000197693,-0.00105077,0,No news
52,93.0656,88.0623,98.0688,10.0065,0.00019762,0.000648343,0,No news
53,93.0974,88.0967,98.0981,10.0014,0.000197665,0.00014434,0,No news
54,93.1352,88.1342,98.1363,10.0021,0.000197814,0.000208658,0,No news
55,93.218,88.2146,98.2215,10.0069,0.000197202,0.000691231,0,No news
56,96.0448,91.0465,101.043,9.99657,0.000216339,-0.000342757,0.03,"Rumor: firm exploring strategic options"
57,95.9281,90.9352,100.921,9.98567,0.00021666,-0.00143256,0,No news
58,95.8349,90.8407,100.829,9.9883,0.000197609,-0.00116982,0,No news
59,95.8896,90.8877,100.891,10.0037,0.000197262,0.000373245,0,No news
60,96.0968,91.0869,101.107,10.0196,0.000197357,0.00196115,0,No news
61,96.2746,91.2663,101.283,10.0165,0.000196746,0.00165223,0,No news
62,96.4798,91.4702,101.49,10.0193,0.000196703,0.00193291,0,No news
63,101.789,96.7725,106.805,10.0329,0.000272902,0.00329469,0.05,"Firm reports quarterly earnings"
64,101.888,96.8846,106.892,10.0078,0.000195298,0.000781813,0,No news
65,102.065,97.0574,107.073,10.0154,0.000196276,0.00153555,0,No news
66,101.999,97.0034,106.995,9.99158,0.000195423,-0.000841541,0,No news
67,101.885,96.8912,106.878,9.98682,0.000195265,-0.00131845,0,No news
68,101.7,96.7103,106.69,9.97994,0.00019495,-0.00200632,0,No news
69,101.723,96.7227,106.723,10.0003,0.000194709,2.69256e-05,0,No news
70,101.636,96.6415,106.631,9.98956,0.000193641,-0.00104443,0,No news
71,101.57,96.5746,106.566,9.99156,0.000194623,-0.000843725,0,No news
72,102.073,97.0489,107.096,10.0474,0.000194206,0.00473862,0,No news
73,102.21,97.2041,107.216,10.0115,0.000195033,0.00114826,0,No news
74,102.461,97.4498,107.472,10.0226,0.000195435,0.00225979,0,No news
75,101.941,96.9677,106.915,9.94718,0.000196226,-0.00528248,0,No news
76,102.023,97.0203,107.026,10.0061,0.000195608,0.000608895,0,No news
77,102.234,97.2246,107.243,10.0187,0.000195519,0.00186672,0,No news
78,102.205,97.2072,107.202,9.99519,0.000195817,-0.000480755,0,No news
79,104.915,99.9352,109.895,9.95962,0.000209939,-0.00403788,0.03,"Rumor: firm exploring strategic options"
